UserID,SubscriptionTier,TotalViewingHoursLastMonth,TopGenre,BingeWatchingSessionsLastMonth,NumberOfUniqueTitlesWatchedLastMonth,AverageSessionDurationMinutes,CustomerServiceInteractionsLastYear,MonthlyCost,Churned
USER_00028,Standard,76.8,Comedy,7,24,56.1,4,12.99,0
USER_00029,Standard,74.6,Comedy,6,21,28.8,3,12.99,1
USER_00030,Basic,36.5,Drama,4,10,43.1,4,7.99,1
USER_00031,Standard,20.9,Romance,2,13,10.4,5,12.99,1
USER_00032,Basic,108.5,Comedy,7,35,62.2,4,7.99,1
USER_00033,Basic,87.5,Action,5,24,29.2,3,7.99,1
USER_00034,Premium,52.3,Horror,6,18,44.2,3,17.99,0
USER_00035,Premium,12.8,Drama,6,12,52.9,4,17.99,0
USER_00036,Standard,82.1,Romance,5,18,54.0,3,12.99,0
USER_00037,Basic,79.4,Action,9,32,53.9,3,7.99,0
USER_00038,Basic,95.1,Documentary,8,21,58.8,3,7.99,1
USER_00039,Standard,18.0,Comedy,5,15,40.2,3,12.99,1
USER_00040,Standard,76.7,Comedy,8,19,53.2,4,12.99,0
USER_00041,Basic,22.4,SciFi,4,10,22.6,3,7.99,0
USER_00042,Standard,44.3,Documentary,2,4,38.4,4,12.99,1
USER_00043,Basic,126.3,SciFi,11,37,54.9,1,7.99,0
USER_00044,Premium,49.5,Comedy,9,19,42.4,3,17.99,0
USER_00045,Basic,100.7,Drama,10,33,66.7,1,7.99,0
USER_00046,Standard,72.4,Drama,5,16,54.1,3,12.99,0
USER_00047,Basic,89.3,Thriller,7,31,61.7,2,7.99,1
USER_00048,Standard,108.7,Comedy,9,24,53.9,4,12.99,1
USER_00049,Standard,110.7,Comedy,7,32,48.1,2,12.99,0
USER_00050,Basic,63.2,Drama,7,16,62.9,2,7.99,1
USER_00051,Premium,127.7,Documentary,9,32,69.0,1,17.99,0
USER_00052,Standard,106.9,Comedy,12,32,65.0,2,12.99,0
USER_00053,Premium,29.1,Romance,3,9,32.6,3,17.99,1
USER_00054,Premium,36.2,Comedy,5,19,51.6,3,17.99,0
USER_00055,Standard,145.4,Romance,13,48,88.5,0,12.99,0
USER_00056,Premium,49.8,Action,2,1,33.0,5,17.99,1
USER_00057,Basic,43.9,SciFi,3,17,60.8,5,7.99,0
USER_00058,Basic,97.3,Romance,6,9,40.3,2,7.99,0
USER_00059,Basic,59.2,Comedy,7,19,39.3,3,7.99,0
USER_00060,Basic,105.7,Thriller,10,38,79.0,1,7.99,1
USER_00061,Basic,65.5,Drama,7,21,52.9,2,7.99,0
USER_00062,Basic,115.4,Romance,10,25,70.1,2,7.99,0
USER_00063,Standard,67.2,SciFi,4,15,35.6,4,12.99,1
USER_00064,Basic,10.1,Comedy,1,17,20.8,6,7.99,1
USER_00065,Basic,65.1,Comedy,9,20,86.2,1,7.99,0
USER_00066,Standard,67.0,Comedy,6,14,56.8,4,12.99,1
USER_00067,Basic,45.5,Action,4,20,44.1,5,7.99,0
USER_00068,Standard,130.0,Comedy,12,44,66.6,2,12.99,0
USER_00069,Basic,61.2,Action,3,13,25.9,3,7.99,1
USER_00070,Premium,48.3,Drama,6,13,20.6,3,17.99,1
USER_00071,Standard,90.8,Horror,8,34,49.5,2,12.99,0
USER_00072,Basic,97.6,Action,7,31,66.7,2,7.99,0
USER_00073,Basic,31.0,Action,5,21,50.6,3,7.99,0
USER_00074,Standard,112.9,Documentary,10,27,70.1,1,12.99,0
USER_00075,Standard,37.9,Comedy,5,14,38.7,3,12.99,0
USER_00076,Standard,108.4,Action,11,30,66.3,2,12.99,0
USER_00077,Standard,133.0,Comedy,15,38,84.9,2,12.99,0
USER_00078,Basic,69.1,Romance,6,29,63.1,2,7.99,0
USER_00079,Basic,69.5,Horror,7,27,41.0,3,7.99,0
USER_00080,Basic,38.4,Drama,3,7,37.9,6,7.99,0
USER_00081,Premium,141.1,Documentary,15,50,107.9,1,17.99,0
USER_00082,Standard,33.2,Drama,4,17,36.9,3,12.99,1
USER_00083,Basic,76.4,SciFi,5,23,57.0,4,7.99,0
USER_00084,Basic,97.2,Documentary,11,40,103.8,2,7.99,0
USER_00085,Basic,54.9,Documentary,3,8,37.6,3,7.99,0
USER_00086,Basic,76.3,Comedy,5,20,55.6,3,7.99,0
USER_00087,Standard,21.3,Action,4,12,32.4,4,12.99,1
USER_00088,Standard,88.1,Drama,9,20,68.9,2,12.99,0
USER_00089,Premium,141.7,Romance,12,37,85.3,2,17.99,1
USER_00090,Standard,30.4,Documentary,3,26,40.7,4,12.99,1
USER_00091,Basic,16.0,Romance,2,1,16.7,5,7.99,1
USER_00092,Standard,28.1,Thriller,2,7,28.0,4,12.99,1
USER_00093,Standard,65.1,Comedy,5,19,57.7,3,12.99,0
USER_00094,Standard,71.3,SciFi,6,22,59.2,3,12.99,0
USER_00095,Standard,119.6,Documentary,11,36,92.8,2,12.99,0
USER_00096,Standard,105.4,Thriller,7,18,57.1,2,12.99,1
USER_00097,Standard,103.7,Thriller,7,24,63.6,2,12.99,1
USER_00098,Standard,120.0,SciFi,12,26,73.7,2,12.99,0
USER_00099,Basic,84.8,Comedy,8,13,49.7,4,7.99,0
USER_00100,Basic,43.5,Horror,4,23,47.5,3,7.99,0
USER_00101,Basic,25.0,Action,2,17,24.7,5,7.99,0
USER_00102,Standard,114.7,Horror,12,31,65.3,2,12.99,0
USER_00103,Basic,92.4,Romance,8,26,62.5,2,7.99,0
USER_00104,Standard,57.6,Drama,2,17,37.2,5,12.99,1
USER_00105,Premium,101.5,Documentary,9,27,51.7,2,17.99,1
USER_00106,Basic,27.0,Drama,3,20,51.6,3,7.99,1
USER_00107,Standard,135.9,Drama,11,32,84.5,1,12.99,0
USER_00108,Standard,31.7,Comedy,6,21,32.5,3,12.99,1
USER_00109,Basic,94.0,Horror,8,30,52.5,3,7.99,1
USER_00110,Basic,127.3,Romance,12,36,79.1,1,7.99,1
USER_00111,Basic,83.7,Romance,4,10,38.9,4,7.99,0
USER_00112,Basic,111.8,Comedy,7,21,50.6,3,7.99,0
USER_00113,Premium,103.3,Romance,8,23,61.3,4,17.99,0
USER_00114,Standard,79.4,SciFi,7,21,38.4,3,12.99,0
USER_00115,Standard,42.8,Comedy,2,7,29.4,5,12.99,1
USER_00116,Premium,81.9,Action,7,15,48.2,3,17.99,0
USER_00117,Standard,106.6,Comedy,11,42,80.4,1,12.99,1
USER_00118,Basic,89.0,Romance,6,25,40.8,3,7.99,1
USER_00119,Premium,137.4,Documentary,15,47,102.9,0,17.99,0
USER_00120,Standard,113.5,SciFi,10,24,52.1,2,12.99,0
USER_00121,Standard,74.9,Comedy,5,20,62.4,3,12.99,1
USER_00122,Premium,71.7,SciFi,5,13,47.3,3,17.99,1
USER_00123,Basic,46.6,Action,2,7,41.4,4,7.99,1
USER_00124,Basic,25.6,Drama,3,7,34.1,5,7.99,1
USER_00125,Basic,53.5,Documentary,7,25,59.1,3,7.99,1
USER_00126,Standard,45.6,Action,5,16,43.9,3,12.99,1
USER_00127,Standard,76.0,Horror,5,26,40.7,4,12.99,1
USER_00128,Premium,124.4,Comedy,11,35,89.0,1,17.99,0
USER_00129,Basic,81.1,SciFi,7,33,53.1,2,7.99,1
USER_00130,Standard,129.1,Drama,9,22,72.3,1,12.99,0
USER_00131,Standard,74.3,Documentary,7,28,66.7,2,12.99,0
USER_00132,Basic,79.1,Action,5,26,41.2,4,7.99,0
USER_00133,Basic,47.1,Action,6,14,54.5,4,7.99,1
USER_00134,Basic,49.4,Romance,5,22,38.2,3,7.99,1
USER_00135,Premium,147.2,Comedy,12,40,86.3,0,17.99,0
USER_00136,Basic,64.4,Horror,5,14,42.9,4,7.99,0
USER_00137,Standard,83.9,Thriller,8,21,46.8,3,12.99,0
USER_00138,Standard,52.7,Comedy,4,13,35.6,3,12.99,0
USER_00139,Basic,97.1,Comedy,11,44,92.1,1,7.99,0
USER_00140,Premium,45.9,SciFi,6,16,50.9,3,17.99,0
USER_00141,Premium,70.4,Thriller,5,21,44.5,5,17.99,0
USER_00142,Basic,106.9,Romance,8,24,69.5,2,7.99,0
USER_00143,Standard,93.3,Drama,9,21,57.5,4,12.99,1
USER_00144,Basic,55.8,Horror,4,22,57.6,3,7.99,0
USER_00145,Basic,88.8,Action,7,19,60.0,2,7.99,0
USER_00146,Basic,54.1,Thriller,5,17,51.1,3,7.99,1
USER_00147,Standard,71.2,Thriller,8,18,58.5,3,12.99,0
USER_00148,Standard,70.1,Comedy,7,19,40.9,3,12.99,1
USER_00149,Basic,118.0,Comedy,14,30,89.3,1,7.99,0
USER_00150,Basic,84.7,Action,8,29,48.8,2,7.99,0
USER_00151,Premium,66.1,Comedy,9,32,83.5,2,17.99,0
USER_00152,Basic,86.5,Horror,8,24,48.3,3,7.99,0
USER_00153,Basic,52.4,Drama,5,13,44.0,3,7.99,1
USER_00154,Standard,44.2,Action,4,16,26.3,5,12.99,1
USER_00155,Premium,129.8,Drama,10,40,73.8,1,17.99,0
USER_00156,Basic,25.5,Thriller,3,15,21.0,6,7.99,1
USER_00157,Standard,48.8,Documentary,2,4,26.2,5,12.99,0
USER_00158,Standard,103.9,Drama,10,29,63.8,2,12.99,0
USER_00159,Basic,63.3,Comedy,5,6,52.6,3,7.99,0
USER_00160,Standard,96.4,Thriller,10,33,79.1,1,12.99,1
USER_00161,Basic,113.5,Horror,8,37,68.6,2,7.99,0
USER_00162,Standard,77.9,Comedy,6,17,43.1,3,12.99,1
USER_00163,Standard,98.0,Action,10,25,61.1,2,12.99,0
USER_00164,Standard,112.3,Action,12,35,91.4,1,12.99,1
USER_00165,Basic,80.1,Action,9,23,64.3,1,7.99,1
USER_00166,Standard,71.3,Documentary,6,16,66.0,3,12.99,0
USER_00167,Basic,9.7,Romance,3,12,25.6,5,7.99,0
USER_00168,Basic,0.0,Drama,3,2,21.7,5,7.99,1
USER_00169,Basic,80.6,Horror,9,28,80.5,1,7.99,0
USER_00170,Standard,90.6,Drama,6,25,66.8,2,12.99,0
USER_00171,Standard,37.8,SciFi,4,17,38.7,3,12.99,1
USER_00172,Basic,97.1,SciFi,7,23,50.3,3,7.99,1
USER_00173,Standard,70.9,Comedy,8,21,56.2,3,12.99,0
USER_00174,Basic,47.3,Drama,7,23,57.0,3,7.99,1
USER_00175,Standard,46.9,Documentary,5,18,57.5,4,12.99,0
USER_00176,Basic,108.6,Action,8,28,62.8,2,7.99,0
USER_00177,Standard,42.0,Drama,3,11,44.5,3,12.99,0
USER_00178,Basic,50.6,Drama,5,17,62.4,4,7.99,0
USER_00179,Premium,61.3,Thriller,4,13,49.9,3,17.99,0
USER_00180,Basic,96.6,Drama,9,25,65.3,3,7.99,0
USER_00181,Basic,62.2,Horror,4,10,23.7,3,7.99,1
USER_00182,Basic,52.0,Drama,3,4,10.0,4,7.99,0
USER_00183,Premium,88.1,Horror,8,28,68.4,2,17.99,1
USER_00184,Premium,72.0,Documentary,8,27,62.7,4,17.99,0
USER_00185,Basic,24.2,Romance,4,14,25.7,5,7.99,1
USER_00186,Standard,111.9,Drama,13,28,74.7,1,12.99,1
USER_00187,Standard,65.1,Documentary,8,25,56.5,2,12.99,0
USER_00188,Standard,47.3,Documentary,5,21,58.8,3,12.99,0
USER_00189,Standard,31.0,Drama,1,11,29.3,4,12.99,0
USER_00190,Basic,90.1,Action,10,22,55.6,4,7.99,1
USER_00191,Basic,75.8,Action,7,23,64.8,2,7.99,0
USER_00192,Premium,84.3,Action,8,29,63.5,4,17.99,1
USER_00193,Premium,97.1,Romance,10,29,73.5,1,17.99,0
USER_00194,Standard,17.0,Comedy,2,1,26.3,5,12.99,0
USER_00195,Basic,70.3,Comedy,6,18,38.6,3,7.99,0
USER_00196,Basic,118.9,SciFi,10,40,70.6,1,7.99,0
USER_00197,Standard,12.2,Comedy,2,11,36.1,4,12.99,1
USER_00198,Premium,66.6,Drama,7,20,62.4,2,17.99,0
USER_00199,Premium,24.0,Comedy,4,16,36.8,3,17.99,1
USER_00200,Standard,86.3,Thriller,11,29,47.5,2,12.99,0
USER_00201,Standard,72.8,Romance,8,28,49.8,3,12.99,0
USER_00202,Basic,67.0,Romance,7,19,69.9,2,7.99,1
USER_00203,Basic,69.7,Drama,7,28,56.3,2,7.99,0
USER_00204,Premium,116.9,SciFi,13,40,82.6,1,17.99,0
USER_00205,Standard,130.3,Comedy,11,35,92.4,1,12.99,0
USER_00206,Basic,29.1,Action,2,11,22.5,4,7.99,1
USER_00207,Basic,68.5,Action,7,28,41.6,4,7.99,1
USER_00208,Standard,130.2,Documentary,13,40,81.1,1,12.99,0
USER_00209,Basic,63.2,Drama,6,15,47.9,3,7.99,0
USER_00210,Basic,125.9,Drama,11,41,74.3,2,7.99,1
USER_00211,Standard,91.9,Action,6,19,48.5,3,12.99,1
USER_00212,Standard,124.1,Drama,9,30,75.1,1,12.99,0
USER_00213,Standard,113.3,SciFi,12,38,85.4,0,12.99,0
USER_00214,Basic,50.9,Drama,3,11,38.2,6,7.99,1
USER_00215,Standard,82.3,SciFi,7,26,70.2,3,12.99,1
USER_00216,Basic,106.3,Comedy,12,34,77.1,1,7.99,0
USER_00217,Basic,94.8,Horror,8,18,61.5,2,7.99,1
USER_00218,Standard,116.6,Documentary,9,25,59.5,4,12.99,1
USER_00219,Standard,91.0,Comedy,10,31,63.7,2,12.99,0
USER_00220,Standard,57.7,Comedy,8,27,47.0,5,12.99,0
USER_00221,Standard,112.3,Documentary,8,31,61.6,2,12.99,0
USER_00222,Standard,92.8,Horror,8,21,65.6,2,12.99,1
USER_00223,Basic,60.3,Drama,4,28,65.9,3,7.99,1
USER_00224,Basic,68.7,Comedy,7,20,41.4,3,7.99,1
USER_00225,Basic,134.4,Romance,12,42,79.1,1,7.99,0
USER_00226,Basic,24.6,SciFi,4,13,37.8,4,7.99,1
USER_00227,Premium,136.3,Drama,14,37,83.0,1,17.99,0
USER_00228,Basic,92.1,Drama,6,26,57.1,2,7.99,0
USER_00229,Premium,110.0,Comedy,11,38,88.0,2,17.99,0
USER_00230,Standard,106.2,Documentary,12,36,47.4,1,12.99,0
USER_00231,Standard,63.8,Drama,7,29,37.0,3,12.99,0
USER_00232,Standard,69.3,Thriller,5,17,42.6,3,12.99,0
USER_00233,Standard,133.6,Drama,11,32,92.3,1,12.99,0
USER_00234,Standard,109.5,Drama,11,33,57.9,1,12.99,1
USER_00235,Basic,94.7,Documentary,7,27,26.1,3,7.99,0
USER_00236,Standard,79.1,Romance,8,23,65.3,2,12.99,0
USER_00237,Basic,52.1,Horror,3,19,40.4,3,7.99,0
USER_00238,Basic,79.4,Drama,9,34,54.3,2,7.99,1
USER_00239,Standard,125.7,SciFi,12,31,72.0,2,12.99,0
USER_00240,Basic,37.0,Documentary,4,8,26.1,4,7.99,0
USER_00241,Premium,61.1,Drama,5,17,46.6,3,17.99,0
USER_00242,Premium,78.1,Comedy,8,26,53.0,2,17.99,0
USER_00243,Premium,61.2,Drama,9,16,53.3,3,17.99,1
USER_00244,Basic,79.5,Comedy,6,26,21.9,5,7.99,1
USER_00245,Basic,59.6,Romance,6,22,41.4,4,7.99,1
USER_00246,Premium,31.9,Comedy,5,17,33.3,3,17.99,0
USER_00247,Standard,156.8,Romance,13,29,81.7,2,12.99,0
USER_00248,Premium,75.6,Drama,7,10,38.6,3,17.99,0
USER_00249,Premium,63.0,Documentary,8,25,66.6,2,17.99,0
USER_00250,Premium,72.1,Drama,5,8,29.0,5,17.99,1
USER_00251,Basic,103.2,Action,12,36,74.2,1,7.99,0
USER_00252,Basic,76.9,Drama,6,20,59.2,2,7.99,0
USER_00253,Premium,92.2,Action,8,41,80.0,2,17.99,0
USER_00254,Basic,115.3,Documentary,10,45,73.2,2,7.99,0
USER_00255,Basic,47.8,Drama,4,17,49.7,3,7.99,0
USER_00256,Standard,77.6,Horror,7,25,43.5,3,12.99,1
USER_00257,Premium,47.6,Comedy,8,23,23.5,4,17.99,0
USER_00258,Standard,63.0,Comedy,6,30,63.4,3,12.99,1
USER_00259,Standard,95.2,Drama,11,19,65.9,4,12.99,0
USER_00260,Basic,31.1,Romance,4,4,48.8,3,7.99,1
USER_00261,Standard,79.1,SciFi,6,17,37.7,3,12.99,0
USER_00262,Premium,117.6,Drama,10,30,70.7,3,17.99,0
USER_00263,Basic,23.3,Drama,2,13,50.4,4,7.99,0
USER_00264,Standard,99.7,Action,9,33,70.1,3,12.99,1
USER_00265,Premium,102.1,Thriller,9,21,67.9,4,17.99,0
USER_00266,Standard,71.2,SciFi,5,7,49.0,3,12.99,0
USER_00267,Standard,80.6,Comedy,7,27,41.4,2,12.99,0
USER_00268,Standard,145.8,Documentary,12,34,100.0,0,12.99,0
USER_00269,Basic,41.7,Action,2,1,26.9,4,7.99,0
USER_00270,Basic,47.7,Thriller,6,20,55.1,3,7.99,0
USER_00271,Standard,148.5,Comedy,13,42,71.3,0,12.99,0
USER_00272,Standard,66.7,Documentary,5,15,31.3,3,12.99,0
USER_00273,Premium,59.5,Comedy,6,18,66.9,2,17.99,0
USER_00274,Premium,116.7,SciFi,12,32,73.1,1,17.99,0
USER_00275,Standard,93.9,Horror,7,22,73.8,2,12.99,1
USER_00276,Standard,68.1,SciFi,6,14,51.9,3,12.99,0
USER_00277,Standard,58.4,Documentary,5,10,18.8,3,12.99,0
USER_00278,Standard,140.2,Romance,9,32,79.4,1,12.99,0
USER_00279,Standard,122.4,Action,14,39,80.3,2,12.99,0
USER_00280,Standard,55.9,Comedy,6,23,62.5,2,12.99,0
USER_00281,Premium,116.2,Comedy,10,27,74.5,1,17.99,0
USER_00282,Basic,64.9,Thriller,5,15,28.1,3,7.99,1
USER_00283,Basic,44.3,Drama,3,4,41.8,3,7.99,0
USER_00284,Basic,54.4,SciFi,3,11,54.0,4,7.99,1
USER_00285,Standard,69.4,SciFi,8,33,67.3,3,12.99,1
USER_00286,Basic,121.3,Comedy,10,24,73.2,1,7.99,0
USER_00287,Standard,62.5,Comedy,7,18,63.6,2,12.99,0
USER_00288,Standard,129.0,Comedy,11,31,71.8,1,12.99,0
USER_00289,Basic,91.7,Drama,6,25,49.7,3,7.99,1
USER_00290,Standard,85.9,Comedy,9,26,55.7,2,12.99,0
USER_00291,Basic,59.0,Action,6,16,52.9,4,7.99,1
USER_00292,Basic,34.7,Romance,2,1,36.7,6,7.99,1
USER_00293,Standard,47.0,Thriller,5,16,34.5,3,12.99,0
USER_00294,Basic,54.1,Comedy,4,27,58.1,3,7.99,0
USER_00295,Basic,65.4,Comedy,7,21,48.4,6,7.99,1
USER_00296,Standard,61.5,Action,9,26,54.0,3,12.99,0
USER_00297,Standard,36.3,SciFi,3,13,44.1,4,12.99,1
USER_00298,Basic,22.9,Horror,2,11,29.5,4,7.99,1
USER_00299,Standard,63.3,Action,7,17,60.0,2,12.99,0
USER_00300,Basic,130.0,Comedy,10,35,69.5,2,7.99,0
USER_00301,Basic,62.3,Horror,7,25,57.4,2,7.99,1
USER_00302,Standard,57.5,Documentary,4,14,43.8,3,12.99,0
USER_00303,Standard,29.8,Action,2,6,35.7,6,12.99,1
USER_00304,Standard,58.7,Documentary,7,25,28.3,3,12.99,1
USER_00305,Standard,87.4,Comedy,6,25,43.7,2,12.99,0
USER_00306,Premium,126.7,Drama,11,32,88.8,2,17.99,0
USER_00307,Standard,48.5,Horror,2,18,34.7,4,12.99,1
USER_00308,Basic,108.1,Horror,8,24,59.3,2,7.99,0
USER_00309,Standard,48.1,Drama,5,12,29.4,3,12.99,0
USER_00310,Basic,102.2,Romance,10,28,63.3,2,7.99,1
USER_00311,Standard,84.8,Drama,9,20,48.4,1,12.99,0
USER_00312,Basic,80.6,Horror,9,29,63.2,2,7.99,0
USER_00313,Basic,147.8,Drama,9,20,63.9,1,7.99,1
USER_00314,Premium,87.9,Romance,6,14,41.9,4,17.99,0
USER_00315,Standard,106.5,Romance,13,25,81.6,3,12.99,0
USER_00316,Standard,51.8,Action,6,20,56.5,2,12.99,0
USER_00317,Standard,104.9,Romance,9,27,87.7,2,12.99,0
USER_00318,Basic,123.2,Horror,13,31,60.9,2,7.99,1
USER_00319,Basic,31.9,Horror,2,3,38.9,4,7.99,1
USER_00320,Basic,97.8,Comedy,10,23,78.6,1,7.99,1
USER_00321,Standard,102.8,Horror,10,32,62.7,2,12.99,0
USER_00322,Standard,106.7,Romance,9,26,71.0,1,12.99,1
USER_00323,Standard,48.0,Comedy,4,16,35.0,3,12.99,1
USER_00324,Basic,10.1,Thriller,7,9,39.7,3,7.99,1
USER_00325,Premium,74.7,Action,7,24,71.5,3,17.99,0
USER_00326,Standard,64.2,Action,7,29,61.8,3,12.99,0
USER_00327,Standard,64.5,Drama,6,21,52.7,3,12.99,0
USER_00328,Standard,161.8,Documentary,10,31,72.8,2,12.99,0
USER_00329,Standard,25.9,Documentary,3,9,10.7,4,12.99,1
USER_00330,Basic,54.4,Action,7,16,44.1,4,7.99,0
USER_00331,Basic,47.5,Thriller,3,11,44.7,5,7.99,1
USER_00332,Standard,133.7,Action,12,34,66.8,2,12.99,0
USER_00333,Basic,87.3,Action,9,23,47.3,2,7.99,0
USER_00334,Basic,73.7,Action,5,20,50.4,3,7.99,0
USER_00335,Basic,70.0,Documentary,3,7,25.7,5,7.99,0
USER_00336,Basic,64.2,Romance,8,18,50.0,2,7.99,0
USER_00337,Premium,55.3,SciFi,3,8,36.1,4,17.99,0
USER_00338,Standard,71.2,Horror,10,17,46.4,2,12.99,1
USER_00339,Standard,133.2,Action,13,29,71.5,3,12.99,1
USER_00340,Basic,101.8,Drama,12,33,83.3,2,7.99,0
USER_00341,Standard,45.0,Drama,4,11,28.9,4,12.99,0
USER_00342,Standard,115.4,Drama,11,36,62.6,1,12.99,0
USER_00343,Basic,35.8,Action,2,8,19.7,4,7.99,0
USER_00344,Standard,80.8,SciFi,7,10,57.7,3,12.99,1
USER_00345,Basic,26.4,Drama,3,17,36.7,3,7.99,0
USER_00346,Standard,26.7,Horror,1,13,23.8,4,12.99,1
USER_00347,Standard,90.3,Drama,11,24,69.0,1,12.99,1
USER_00348,Basic,86.2,Comedy,10,32,53.3,1,7.99,0
USER_00349,Basic,98.3,Documentary,11,25,73.8,1,7.99,1
USER_00350,Standard,82.3,Comedy,8,25,64.8,2,12.99,0
USER_00351,Standard,122.4,Romance,7,18,56.4,2,12.99,0
USER_00352,Premium,146.7,Documentary,13,30,99.5,2,17.99,0
USER_00353,Standard,43.1,Comedy,5,17,37.4,3,12.99,0
USER_00354,Basic,72.8,Thriller,8,23,69.3,3,7.99,0
USER_00355,Basic,64.0,Drama,4,13,42.2,3,7.99,0
USER_00356,Standard,141.5,Action,10,25,70.1,1,12.99,0
USER_00357,Basic,76.4,Documentary,11,27,67.9,2,7.99,0
USER_00358,Standard,56.9,Comedy,9,26,59.0,2,12.99,0
USER_00359,Premium,121.9,Horror,9,27,76.9,2,17.99,1
USER_00360,Standard,81.3,Horror,6,23,44.2,3,12.99,0
USER_00361,Basic,66.1,Thriller,7,20,49.2,2,7.99,1
USER_00362,Standard,40.3,Drama,4,16,42.3,4,12.99,1
USER_00363,Standard,49.4,Drama,8,20,56.1,2,12.99,0
USER_00364,Standard,130.2,SciFi,13,39,93.1,1,12.99,0
USER_00365,Premium,72.7,Action,8,26,67.8,4,17.99,1
USER_00366,Basic,91.2,Drama,7,25,51.9,3,7.99,0
USER_00367,Premium,62.0,Drama,6,21,62.7,2,17.99,0
USER_00368,Premium,67.4,Action,5,17,38.4,3,17.99,0
USER_00369,Basic,84.4,Drama,8,33,74.6,2,7.99,1
USER_00370,Basic,58.4,Romance,6,9,45.8,3,7.99,0
USER_00371,Basic,83.2,Romance,8,23,71.0,3,7.99,1
USER_00372,Basic,67.7,Action,7,20,47.6,3,7.99,0
USER_00373,Basic,14.6,Action,3,16,13.8,4,7.99,1
USER_00374,Standard,63.2,Comedy,4,18,48.2,4,12.99,1
USER_00375,Basic,87.0,Romance,6,17,33.5,2,7.99,0
USER_00376,Basic,56.8,Action,8,16,43.6,4,7.99,1
USER_00377,Standard,67.5,SciFi,6,17,59.8,3,12.99,1
USER_00378,Basic,46.8,Action,6,17,53.1,4,7.99,1
USER_00379,Standard,51.8,Documentary,4,22,64.1,3,12.99,0
USER_00380,Basic,38.1,Drama,3,5,45.7,4,7.99,1
USER_00381,Basic,121.0,Horror,7,32,51.7,4,7.99,0
USER_00382,Standard,2.6,Comedy,0,11,25.2,5,12.99,1
USER_00383,Standard,84.7,Documentary,8,24,47.7,3,12.99,1
USER_00384,Premium,109.7,Comedy,9,25,49.4,2,17.99,0
USER_00385,Standard,124.4,SciFi,12,33,69.4,2,12.99,0
USER_00386,Standard,95.8,Romance,6,13,46.1,4,12.99,1
USER_00387,Basic,128.5,Action,11,32,59.8,1,7.99,0
USER_00388,Basic,44.4,Romance,2,15,35.7,4,7.99,0
USER_00389,Standard,90.0,Documentary,8,33,60.6,2,12.99,0
USER_00390,Standard,89.5,Action,6,15,35.9,2,12.99,1
USER_00391,Premium,64.8,Drama,3,13,44.5,4,17.99,1
USER_00392,Standard,95.4,Comedy,11,29,77.7,2,12.99,0
USER_00393,Basic,46.5,SciFi,9,13,52.3,3,7.99,1
USER_00394,Standard,37.4,Horror,3,16,33.0,3,12.99,1
USER_00395,Basic,73.6,Action,8,21,66.2,2,7.99,0
USER_00396,Premium,40.2,Drama,4,12,43.4,3,17.99,0
USER_00397,Premium,126.5,Horror,9,28,75.3,3,17.99,0
USER_00398,Standard,45.0,Romance,5,12,34.1,3,12.99,1
USER_00399,Standard,147.2,Drama,15,41,96.3,1,12.99,0
USER_00400,Standard,58.6,Thriller,6,16,57.4,3,12.99,0
USER_00401,Basic,78.9,Drama,7,18,44.0,3,7.99,1
